nanoplastics type,surface charge,nanoplastics shape,nanoplastics size(nm),nanoplastics dose(mg/g or mg/ml),adsorption of pollutant types,pollutant types,pollutants dose(mg/g or mg/ml),environmental media,photosynthetic organisms species,organisms category,organisms type,exposure time(day),Tem(¡æ),photosynthetic and biochemical indexes,index groups,nc,nt,avc,avt,sdc,sdt,study_id,year,effect_size,variance
PS,plain,sphere,100,0.01,non,non,0,soil,Allium tuberosum,Crops,C3,12,25,Pn,Simultaneous Effect,3,3,220.05289,211.15581,-7.044666327,20.913838,9,2024,-0.039807469,0.003616969
PS,plain,sphere,50,0.025,non,non,0,freshwater,Chlorella pyrenoidosa,Algae & Microorganisms,Algae & Microorganisms,19,25,chla,Light Reaction,3,3,13.874,13.3934,0.45339,1.32391,45,2025,-0.033804038,0.003618314
PS,plain,sphere,20,0.005,non,non,0,freshwater,Chlorella pyrenoidosa,Algae & Microorganisms,Algae & Microorganisms,7,25,carotenoids,Light Reaction,3,3,0.57533,1.04462,0.05907,0.01969,45,2025,0.59476698,0.003638421
PS,plain,sphere,300,0.05,non,non,0,freshwater,corn,Crops,C4,15,25,Fv/Fm,Light Reaction,3,3,0.80084,0.80356,0.05930542,0.05930542,6,2022,0.003384502,0.003646963
PS,plain,sphere,50,0.001,DBP(di-n-butyl phthalate),Endocrine Disrupting Compound (EDC),0.001,freshwater,corn,Crops,C4,4,20,chla,Light Reaction,6,6,2.05218,2.27927,0.2207,0.23224,17,2022,-0.104853931,0.003661319
PS,plain,sphere,80,0.05,non,non,0,freshwater,Chlorella pyrenoidosa,Algae & Microorganisms,Algae & Microorganisms,7,25,carotenoids,Light Reaction,3,3,0.5819,0.88053,0.05743,0.03118,45,2025,0.412810956,0.003670157
PS,plain,sphere,50,0.001,DEHP(di-(2-ethylhexyl) phthalate),Endocrine Disrupting Compound (EDC),0.001,freshwater,corn,Crops,C4,10,20,chlb,Light Reaction,6,6,0.49773,0.85287,0.03604,0.11052,17,2022,-0.53951183,0.00367689
PS,plain,sphere,80,0.001,non,non,0,freshwater,Salvinia natans,Aquatic & Wetland Plants,C3,14,25,Total chl,Light Reaction,3,3,3.286,2.968,0.297,0.159,1,2024,-0.102665906,0.003683853
PS,plain,sphere,500,0.05,non,non,0,freshwater,corn,Crops,C4,15,25,Fv/Fm,Light Reaction,3,3,0.80084,0.79513,0.05930542,0.05930542,6,2022,-0.007142379,0.003685737
PS,plain,sphere,80,0.075,non,non,0,freshwater,Chlorella pyrenoidosa,Algae & Microorganisms,Algae & Microorganisms,7,25,carotenoids,Light Reaction,3,3,0.5819,0.87397,0.05743,0.03281,45,2025,0.405358915,0.003721996
PS,plain,sphere,50,0.075,non,non,0,freshwater,Chlorella pyrenoidosa,Algae & Microorganisms,Algae & Microorganisms,19,25,chla,Light Reaction,3,3,13.874,13.70171,0.45339,1.37832,45,2025,-0.010987379,0.003734828
PS,plain,sphere,100,0.001,non,non,0,freshwater,Haematococcus pluvialis,Algae & Microorganisms,Algae & Microorganisms,12,25,carotenoids,Light Reaction,3,3,1.51981,1.40444,0.05517,0.14024,2,2024,-0.077504474,0.003768521
PS,plain,sphere,80,0.1,non,non,0,freshwater,Chlorella pyrenoidosa,Algae & Microorganisms,Algae & Microorganisms,7,25,carotenoids,Light Reaction,3,3,0.5819,0.86576,0.05743,0.03446,45,2025,0.395949756,0.003780339
PS,aminonted,sphere,41.5,0.002,non,non,0,freshwater,Synechococcus sp.,Algae & Microorganisms,Algae & Microorganisms,4,,Fv/Fm,Light Reaction,5,5,0.22547,0.19768,0.019990448,0.020773072,42,2025,-0.13121936,0.003784381
PS,plain,sphere,20,0.025,non,non,0,freshwater,Chlorella pyrenoidosa,Algae & Microorganisms,Algae & Microorganisms,19,25,chla,Light Reaction,3,3,13.78332,13.30272,0.41712,1.37832,45,2025,-0.033854041,0.0038902
PS,plain,sphere,80,0.01,non,non,0,freshwater,Spirodela polyrhiza,Aquatic & Wetland Plants,C3,10,25,chlb,Light Reaction,3,3,1.66749,1.39637,0.07226116,0.138494783,26,2023,-0.176116969,0.003910578
PS,aminonted,sphere,200,0.001,BPA(bisphenol A),Endocrine Disrupting Compound (EDC),0.01,freshwater,Scenedesmus obliquus,Algae & Microorganisms,Algae & Microorganisms,3,23,chla,Light Reaction,3,3,3.73159,8.17889,0.40726,0.02,4,2023,-0.782737824,0.003980277
PS,aminonted,sphere,100,0.01,non,non,0,freshwater,Sphagnum,Aquatic & Wetland Plants,C3,30,22,chlb,Light Reaction,4,4,0.67859,0.41179,0.001,0.05192,55,2024,-0.49751674,0.003982714
PS,plain,sphere,50,0.001,DEHP(di-(2-ethylhexyl) phthalate),Endocrine Disrupting Compound (EDC),0.001,freshwater,corn,Crops,C4,14,20,chla,Light Reaction,6,6,1.63079,2.37815,0.16096,0.28514,17,2022,-0.377644496,0.004023823
PS,plain,sphere,50,0.001,DBP(di-n-butyl phthalate),Endocrine Disrupting Compound (EDC),0.001,freshwater,corn,Crops,C4,10,20,chlb,Light Reaction,6,6,0.51775,0.85287,0.04564,0.11052,17,2022,-0.499866465,0.004098599
PS,plain,sphere,400,0.001,TBBPA(tetrabromobisphenol A),Endocrine Disrupting Compound (EDC),0.0005,freshwater,S. obliquus,Algae & Microorganisms,Algae & Microorganisms,3,,chlb,Light Reaction,3,3,100,52.83074,0.001,5.86105,41,2025,-0.636025682,0.004110988
PS,plain,sphere,50,0.006,non,non,0,freshwater,Myriophyllum sp. ¡®Roraima¡¯,Aquatic & Wetland Plants,C3,7,25,chla,Light Reaction,3,3,997.10361,1017.11729,101.6306099,45.69437551,39,2024,0.018477935,0.004141944
PS,plain,sphere,30,0.05,non,non,0,freshwater,Azolla fliculoides Lam.,Aquatic & Wetland Plants,C3,7,35,chla,Light Reaction,5,5,0.27,0.19,0.02236068,0.02236068,33,2024,-0.350698716,0.004146603
PS,plain,sphere,80,0.005,PCB-52(polychlorinonted biphenyl-52),Persistent Organic Pollutant (POP),0.0001,freshwater,Spirodela polyrhiza,Aquatic & Wetland Plants,C3,10,25,chlb,Light Reaction,3,3,1.99075,1.66749,0.204693764,0.07226116,26,2023,0.178641035,0.004156539
PS,aminonted,sphere,75,0.01,non,non,0,freshwater,Brassica rapa L.,Crops,C3,2.75,25,carotenoids,Light Reaction,3,3,1.3021,0.86088,0.0474,0.09116,49,2022,-0.412130523,0.004186483
PS,plain,sphere,75,0.05,non,non,0,freshwater,Dictyosphaerium sp.,Algae & Microorganisms,Algae & Microorganisms,3,25,chlb,Light Reaction,3,3,3.38914,3.42679,0.307,0.2259,23,2021,0.01040448,0.004188469
PS,plain,sphere,207.3,0.02,non,non,0,freshwater,corn,Crops,C4,8,25,Pn,Simultaneous Effect,4,4,19.20845,5.38413,1.54607,0.54733,43,2025,-1.271412613,0.004207765
